Mxenes,deltaG_H
NbVBX-2,0.42697127
NbVBX-3,-1.04051383
NbYBCl2-1,2.4209077
NbYBCl2-2,2.3263749
NbYBCl2-3,2.3258396
NbYBO2-1,0.1502123
NbYBO2-2,0.4750523
NbYBO2-3,2.3280894
NbYBS2-1,0.03585412
NbYBS2-2,0.78373472
NbYBS2-3,0.08507072
NbYBX-1,-1.21438393
NbYBX-2,0.11819785
NbYBX-3,-1.03467698
NbYCCl2-1,2.2016977
NbYCCl2-2,2.3647005
NbYCCl2-3,2.3343829
NbYCO2-1,0.8060634
NbYCO2-2,2.2593598
NbYCO2-3,2.379717
NbYCS2-1,0.56108032
NbYCS2-2,2.05930842
NbYCS2-3,1.37942522
NbYCX-1,-3.2559505
NbYCX-2,-2.038967
NbYCX-3,-3.0894628
NbYNF2-1,1.9927409
NbYNF2-2,0.7936358
NbYNF2-3,2.3096777
NbZrBCl2-1,2.5044362
NbZrBCl2-2,2.3361491
NbZrBCl2-3,2.3272621
NbZrBO2-1,0.3442026
NbZrBO2-2,1.7477945
NbZrBO2-3,2.3349509
NbZrBS2-1,0.14258033
NbZrBS2-2,1.04466273
NbZrBS2-3,0.91065703
NbZrBX-1,-1.3438031
NbZrBX-2,0.1389408
NbZrBX-3,-1.0273
NbZrNCl2-1,2.3122168
NbZrNCl2-2,2.2696541
NbZrNCl2-3,2.3273196
NbZrNO2-1,0.6177185
NbZrNO2-2,0.9286265
NbZrNO2-3,2.2927012
NbZrNS2-1,0.43036103
NbZrNS2-2,2.13082653
NbZrNS2-3,1.47652963
NbZrNX-1,-1.1027618
NbZrNX-2,-0.0146764
NbZrNX-3,-0.72217
ScCrCCl2-1,2.4565289
ScCrCCl2-2,2.3183759
ScCrCCl2-3,2.3346882
ScCrCO2-1,-2.3004808
ScCrCO2-2,2.2246613
ScCrCO2-3,2.2499459
ScCrCS2-1,-1.3387976
ScCrCS2-2,-1.0735885
ScCrCS2-3,-0.7092888
ScCrCX-1,-3.16836027
ScCrCX-2,-1.36237037
ScCrCX-3,-2.94375087
ScHfBF2-1,2.4644472
ScHfBF2-2,2.2977198
ScHfBF2-3,2.299853
ScMnCF2-1,2.3528783
ScMnCF2-2,2.3579082
ScMnCF2-3,2.3055226
ScMnNCl2-1,2.3378408
ScMnNCl2-2,2.3655152
ScMnNCl2-3,2.9279096
ScMnNO2-1,0.2598899
ScMnNO2-2,2.3051398
ScMnNO2-3,2.3070497
ScMnNS2-1,-0.35954225
ScMnNS2-2,0.22838935
ScMnNS2-3,0.41234095
ScMnNX-1,-1.12528761
ScMnNX-2,0.16753059
ScMnNX-3,-0.77536031
ScMoBF2-1,2.2906675
